Protein	WT-0-1	WT-0-2	WT-0-3	WT-0.5-1	WT-0.5-2	WT-0.5-3	WT-1-1	WT-1-2	WT-1-3	WT-3-1	WT-3-2	WT-3-3	WT-6-1	WT-6-2	WT-6-3	WT-12-1	WT-12-2	WT-12-3	WT-15-1	WT-15-2	WT-15-3	WT-18-1	WT-18-2	WT-18-3	3A-0-1	3A-0-2	3A-0-3	3A-0.5-1	3A-0.5-2	3A-0.5-3	3A-1-1	3A-1-2	3A-1-3	3A-3-1	3A-3-2	3A-3-3	3A-6-1	3A-6-2	3A-6-3	3A-12-1	3A-12-2	3A-12-3	3A-15-1	3A-15-2	3A-15-3	3A-18-1	3A-18-2	3A-18-3	3Amk-0-1	3Amk-0-2	3Amk-0-3	3Amk-0.5-1	3Amk-0.5-2	3Amk-0.5-3	3Amk-1-1	3Amk-1-2	3Amk-1-3	3Amk-3-1	3Amk-3-2	3Amk-3-3	3Amk-6-1	3Amk-6-2	3Amk-6-3	3Amk-12-1	3Amk-12-2	3Amk-12-3	3Amk-15-1	3Amk-15-2	3Amk-15-3	3Amk-18-1	3Amk-18-2	3Amk-18-3
acnA	0	0	0	0	0	0	0	0	0	0	0	0	8.3891	7.7526	7.9522	10.789	11.536	8.4458	16.082	9.4413	12.144	15.383	15.812	13.196	0	0.74021	0	0	0	0	0	0	0	0	0	0	4.1003	3.0842	2.15	9.9691	5.7754	7.7737	10.925	7.6644	9.4965	9.4098	9.6017	10.054	0	0	0	0	0	0	0	0	0	0	0	0	1.9493	0	0	6.567	2.9364	6.2255	11.135	13.713	16.377	10.984	10.77	11.517
acnB	21.286	17.286	18.785	23.856	19.852	23.625	25.575	26.219	27.329	28.826	30.738	28.274	21.572	27.688	29.537	17.654	13.843	14.78	12.866	17.833	16.192	11.537	14.758	16.241	21.193	19.245	22.165	19.938	24.643	21.842	24.717	28.777	28.404	38.725	43.651	40.131	36.903	32.898	34.401	38.879	38.502	38.868	45.688	50.366	49.593	48.931	40.541	46.25	22.056	20.264	20.805	23.749	26.308	21.31	26.288	28.701	27.083	40.311	49.12	38.445	44.833	40.063	40.007	45.031	47.962	40.021	47.576	48.975	42.389	44.851	41.121	39.867
acpP	7.8838	9.7703	6.7625	13.484	11.493	16.435	9.207	14.202	9.8386	9.349	9.2214	10.995	13.183	13.29	11.36	11.77	11.536	10.557	12.866	10.49	10.12	10.576	13.704	13.196	7.4176	8.8825	9.03	9.3828	10.714	14.197	11.235	11.068	10.925	14.653	13.889	11.746	10.251	13.365	9.6752	13.957	12.513	11.661	11.919	14.234	14.772	14.115	16.003	14.076	12.769	15.761	14.235	14.034	11.438	11.163	10.515	11.876	12.574	14.163	18.42	11.43	10.721	13.706	13.717	12.196	13.703	12.451	10.122	11.754	16.377	9.1532	12.728	10.631
acrA	3.1535	2.2547	3.0056	3.1117	0	0	1.023	0	0	2.3373	2.3053	3.1416	0	0	0	0	0	0	0	0	0	0.96145	0	0	2.1193	2.2206	1.6418	0	0	1.0921	0	0	1.0925	0	1.9841	0	0	0	0	0.99691	0.96256	0	2.9796	0	0	1.882	0	0	1.1608	2.2516	3.285	0	0	0	2.103	0.98969	1.9345	0	0	1.0391	0.97464	1.0543	0	0.93814	0	0	0	0	0	0	0	0
adhE	40.207	34.572	39.072	30.08	30.3	30.815	30.69	33.866	30.609	43.629	40.728	39.269	50.335	49.838	53.394	51.001	53.065	50.675	58.968	57.697	63.757	52.88	57.977	54.815	39.207	38.491	42.687	34.013	32.142	27.302	24.717	22.136	25.126	26.166	31.746	30.343	29.727	32.898	33.326	32.898	31.764	31.095	38.735	38.322	42.207	40.462	39.474	32.174	32.503	36.025	31.755	32.386	33.171	30.443	31.545	28.701	28.05	29.416	33.156	35.328	37.036	31.629	28.576	38.464	39.153	38.243	50.612	48.975	50.096	50.343	51.89	49.612
adhP										2.3373	1.5369	3.1416	1.1984	0	1.136	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	1.8763	0.97882	1.7787	4.049	2.9385	2.8901	0.91532	0	0.88592
adk	5.5187	6.764	3.0056	8.2978	4.1793	7.1901	8.184	7.6472	8.7454	13.244	9.9898	10.21	8.3891	8.8602	9.0883	13.731	11.536	14.78	13.938	15.735	12.144	21.152	21.083	13.196	5.2983	5.1814	4.9255	2.3457	4.2857	4.3683	2.247	3.3204	5.4623	10.466	7.9366	6.8517	10.251	6.1683	6.4501	10.966	12.513	15.547	16.885	16.424	13.717	16.938	13.869	15.081	8.1258	5.629	7.665	4.3181	5.7192	5.0739	6.3091	3.9588	5.8034	8.716	6.14	6.2344	10.721	5.2715	8.0014	14.072	12.725	14.23	13.159	13.713	17.341	10.984	12.728	12.403
aegA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
ahpC	8.6722	7.5156	9.0167	14.521	8.3585	8.2173	12.276	13.109	13.118	10.128	10.758	12.566	15.58	14.398	15.904	10.789	9.2287	11.613	16.082	14.686	12.144	11.537	12.65	14.211	13.776	10.363	8.2091	16.42	13.928	8.7367	7.8644	11.068	17.479	16.746	14.881	14.682	15.376	13.365	12.9	10.966	17.326	15.547	19.864	15.329	16.883	17.879	20.27	18.098	11.608	15.761	10.95	10.795	16.014	11.163	15.773	15.835	13.541	13.074	15.964	12.469	14.62	18.977	17.146	15.948	16.64	16.898	16.196	15.672	17.341	17.391	19.581	15.947
aidB										0.77909	0	0	0	0	1.136	0.98079	1.1536	0	1.0721	1.049	2.024	1.9229	0	1.0151										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alaS	12.614	12.777	15.028	13.484	10.448	16.435	11.253	15.294	8.7454	11.686	9.2214	8.6393	0	3.3226	3.4081	3.9232	1.1536	7.3901	4.2886	5.2451	5.06	1.9229	3.1624	6.0906	11.656	14.064	15.597	8.21	7.4999	5.4604	8.9879	16.602	9.8321	13.606	10.913	12.725	10.251	11.309	8.6001	9.9691	6.7379	7.7737	8.9389	7.6644	6.331	12.233	7.468	7.038	13.93	12.384	9.855	10.795	8.0069	10.148	9.4636	9.8969	8.7052	11.984	8.5961	13.508	6.8225	9.4886	8.0014	7.5051	5.8729	8.8936	6.0735	7.836	8.6704	3.6613	3.9162	7.9733
aldA	1.5768	3.7578	0.75139	0	3.1345	3.0815	0	0	0	0	0	0	0	0	0	0	0	0							5.2983	6.6619	6.5673	0	0	4.3683	1.1235	1.1068	0	0	0	0	1.0251	0	0	0	0	0							4.6433	4.5032	6.57	5.3976	2.2877	4.0591	0	0	0.96724	2.179	0	3.1172	0	0	0	0	0	0						
aldB	0	0	0	0	0	0	0	0	0																0	0	0	0	0	0	0	0	0																0	0	2.19	0	0	0	0	0	0															
allR	1.5768	1.5031	0.75139	0	0	0	0	0	0	1.5582	0	0.78539	1.1984	0	0	0.98079	0	0	0	0	2.024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
amn																			0	0	0	0	0	0																			0	0	0	0	0	0																			0	0	0	0	0	0.88592
amyA										1.5582	0.76845	0	0	0	0	0	0	0	1.0721	1.049	1.012	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0.91532	0	0.88592
ansB	3.9419	3.7578	7.5139	0	0	0	0	0	0																0	0	0	0	0	0	0	0	0																1.1608	2.2516	0	0	0	0	0	0	0															
appC																			0	1.049	2.024	0	0	0																			0	0	0	0	0	0																			0	0	0	0	0	0
apt	5.5187	6.764	6.0111	7.2606	6.2689	6.163	6.138	4.3698	5.4659	7.7909	5.3791	4.7123	4.7938	4.4301	5.6802	3.9232	8.0751	2.1115	5.3607	4.1961	6.0721	3.8458	4.2165	4.0604	4.2386	5.9216	7.3882	7.0371	7.4999	6.5525	8.9879	6.6409	5.4623	7.3263	4.9604	5.8729	6.1504	6.1683	6.4501	2.9907	2.8877	2.9151	3.9728	2.1898	3.1655	2.8229	2.1337	2.0109	4.6433	5.629	7.665	7.5566	6.863	6.0887	4.206	3.9588	4.8362	7.6265	6.14	7.2734	3.8986	4.2172	5.7153	3.7526	3.9153	3.5575	4.049	3.918	4.8169	2.746	2.9372	1.7718
arcA	2.3651	3.0062	2.2542	2.0744	1.0448	1.0272	3.069	1.0925	2.1864	3.1163	4.6107	3.1416	4.7938	2.215	5.6802	3.9232	2.3072	2.1115	4.2886	2.0981	4.048	6.7302	7.3789	4.0604	3.179	2.2206	2.4627	0	1.0714	1.0921	0	1.1068	1.0925	1.0466	1.9841	1.9576	1.0251	2.0561	0	0.99691	2.8877	0.97171	1.9864	1.0949	5.2758	3.7639	4.2674	4.0217	0	3.3774	0	1.0795	0	1.0148	0	1.9794	1.9345	2.179	3.684	0	3.8986	4.2172	5.7153	4.6907	4.8941	4.4468	5.0612	4.8975	5.7803	3.6613	2.9372	2.6578
argE										0.77909	0.76845	1.5708	0	0	1.136	0	0	0																0	0	0.97882	0	0	0	0	0	0																0	0	0	0	0	0	0	0	0						
argG										0	0.76845	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0.88936	0	0	0	0	0.97906	0.88592
argH										0.77909	0	0.78539	0	0	0	0	1.1536	0	1.0721	0	1.012	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
argR	0.78838	0.75156	0.75139	1.0372	1.0448	1.0272	1.023	0	0	0.77909	0.76845	0	1.1984	1.1075	1.136	0	1.1536	0	1.0721	1.049	1.012	0	0	0	0	0	0.82091	0	0	0	1.1235	0	0	1.0466	0	0.97882	1.0251	0	0	0	0	0	0	1.0949	0	0.94098	0	1.0054	1.1608	1.1258	1.095	0	1.1438	0	0	0	0	0	1.228	1.0391	0	0	0	0.93814	0.97882	0.88936	0	0.9795	0	0	0	0
argS	1.5768	3.0062	5.2597	1.0372	1.0448	1.0272	0	0	0	0	0.76845	0	0	0	0	0	0	0	0	0	0	0	0	1.0151	2.1193	1.4804	1.6418	0	0	0	0	0	0	0	0.99207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.095	0	0	1.0148	0	0	0	0	0	1.0391	0.97464	1.0543	0	0	0	0	0	0	0	0	0	0
aroC																			0	0	0	0.96145	1.0541	1.0151																			0	0	0	0	0	1.0054																			0	0	0	0	0.97906	0
aroF										0	0	0	0	2.215	0	0	0	0																0	0	0	0	0	0	0.99691	0	0																0	0	0	0	0	0	0	0	0						
aroG	3.1535	4.5094	3.0056	3.1117	4.1793	4.1087	6.138	4.3698	6.5591	3.8954	3.8422	3.9269	3.5953	5.5376	5.6802	2.9424	4.6143	2.1115	2.1443	2.0981	3.036	2.8844	3.1624	4.0604	1.0597	2.2206	2.4627	0	0	2.1842	3.3704	3.3204	3.2774	5.2331	4.9604	3.9153	7.1755	4.1122	6.4501	2.9907	2.8877	3.8868	6.9525	4.3797	4.2207	3.7639	1.0669	3.0163	3.4825	3.3774	3.285	3.2386	0	3.0443	1.0515	1.9794	3.869	4.358	4.912	5.1953	2.9239	3.1629	4.5722	2.8144	2.9364	3.5575	5.0612	7.836	6.7437	4.5766	3.9162	4.4296
aroH	0	0	0	0	1.0448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0895	0	0	0	0	0	0	0	0	0	0	0.96338	0.91532	0	0.88592
aroK	5.5187	5.2609	3.7569	5.1861	2.0896	3.0815	0	2.1849	2.1864	5.4536	5.3791	3.1416	0	0	0	0.98079	0	3.1672	1.0721	1.049	1.012	3.8458	2.1083	1.0151	4.2386	5.1814	5.7464	2.3457	5.3571	3.2763	2.247	1.1068	2.1849	4.1865	2.9762	3.9153	1.0251	0	0	1.9938	2.8877	2.9151	1.9864	2.1898	0	4.7049	0	3.0163	4.6433	4.5032	5.475	4.3181	3.4315	1.0148	1.0515	0.98969	2.9017	2.179	0	4.1562	1.9493	3.1629	1.1431	2.8144	0.97882	3.5575	1.0122	1.959	0.96338	2.746	0.97906	1.7718
artI	0	0.75156	0.75139	0	0	0	0	0	0	0.77909	1.5369	1.5708	0	1.1075	1.136	0.98079	1.1536	0	1.0721	0	1.012	0	0	1.0151	0	0.74021	0.82091	0	0	0	0	0	0	1.0466	0.99207	0.97882	2.0501	2.0561	0	1.9938	0.96256	0	0	0	1.0552	1.882	0	1.0054	1.1608	1.1258	2.19	0	0	1.0148	0	0.98969	0.96724	0	2.456	2.0781	1.9493	2.1086	1.1431	0	0.97882	0.88936	1.0122	1.959	0.96338	1.8306	0.97906	2.6578
asd	9.4606	9.0187	8.2653	8.2978	5.2241	7.1901	9.207	10.925	10.932	14.024	12.295	14.922	13.183	13.29	15.904	13.731	17.304	13.724	16.082	16.784	15.18	12.499	12.65	14.211	12.716	10.363	12.314	8.21	9.6427	6.5525	8.9879	11.068	7.6472	12.559	14.881	14.682	13.326	13.365	9.6752	13.957	16.364	13.604	17.878	17.519	15.827	19.761	18.137	14.076	9.2866	9.0064	10.95	9.7157	8.0069	6.0887	11.567	10.887	9.6724	11.984	11.052	8.3125	10.721	12.652	11.431	12.196	14.682	14.23	18.22	14.693	13.487	20.137	16.644	15.947
asnA	6.307	6.764	6.0111	7.2606	7.3137	6.163	7.161	7.6472	6.5591	4.6745	3.8422	5.4977	0	0	0	0	0	0	0	0	0	0	0	0	4.2386	4.4412	4.9255	8.21	7.4999	5.4604	2.247	3.3204	3.2774	5.2331	3.9683	4.8941	3.0752	3.0842	2.15	0	0	0	0	0	0	0	0	0	6.965	4.5032	6.57	5.3976	6.863	6.0887	6.3091	4.9485	5.8034	7.6265	3.684	4.1562	3.8986	3.1629	2.2861	0.93814	0	1.7787	0	0.9795	0	0	0	0
asnB	0.78838	0.75156	0.75139	0	0	0	1.023	1.0925	0																0	0	0	0	0	0	0	0	0																0	0	0	0	0	0	0	0	0															
asnS	9.4606	10.522	10.519	11.409	7.3137	7.1901	10.23	10.925	9.8386	10.128	8.4529	10.21	10.786	9.9677	10.224	8.8271	9.2287	7.3901	9.6493	8.3922	9.1081	4.8073	4.2165	5.0755	10.597	12.584	9.8509	5.8643	8.5713	8.7367	6.7409	8.8545	9.8321	12.559	10.913	11.746	10.251	11.309	10.75	10.966	8.663	10.689	10.925	10.949	9.4965	9.4098	6.4012	8.0434	9.2866	7.8806	8.76	6.4771	8.0069	5.0739	7.3606	9.8969	9.6724	8.716	11.052	10.391	8.7718	11.597	8.0014	8.4433	8.8093	9.783	5.0612	7.836	2.8901	5.4919	3.9162	4.4296
aspA	7.0954	6.764	7.5139	3.1117	2.0896	2.0543	0	1.0925	0	2.3373	1.5369	0	0	0	0	0	0	0							5.2983	4.4412	7.3882	0	1.0714	1.0921	0	0	0	0	0	0	0	0	0	0	0	0							3.4825	4.5032	6.57	1.0795	1.1438	1.0148	1.0515	0.98969	0	0	0	0	0	0	0	0	0	0						
aspC	4.7303	5.2609	6.0111	4.1489	5.2241	3.0815	6.138	5.4623	4.3727	19.477	18.443	17.279	9.5876	15.505	12.496	10.789	11.536	13.724	16.082	16.784	15.18	11.537	12.65	21.317	1.0597	6.6619	2.4627	1.1729	2.1428	2.1842	4.4939	2.2136	1.0925	9.4196	10.913	12.725	14.351	15.421	10.75	18.941	14.438	17.491	21.851	18.614	20.048	21.643	17.07	21.114	6.965	2.2516	5.475	4.3181	3.4315	4.0591	2.103	1.9794	2.9017	4.358	4.912	5.1953	8.7718	6.3258	5.7153	17.825	15.661	12.451	15.184	20.57	19.268	19.222	19.581	18.604
aspS	15.768	15.783	14.276	15.558	8.3585	9.2445	9.207	12.017	9.8386	16.361	16.906	15.708	13.183	9.9677	12.496	10.789	8.0751	11.613	11.794	10.49	14.168	13.46	9.4872	13.196	7.4176	11.103	13.135	9.3828	7.4999	8.7367	6.7409	7.7477	9.8321	12.559	14.881	13.703	15.376	12.337	9.6752	9.9691	5.7754	11.661	11.919	9.8542	10.552	10.351	10.669	12.065	12.769	9.0064	8.76	8.6361	11.438	8.1182	8.4121	8.9072	11.607	11.984	13.508	11.43	9.7464	12.652	13.717	11.258	12.725	11.562	11.135	10.775	14.451	9.1532	11.749	10.631
atoB	0	0	0	0	0	0	1.023	1.0925	0	0	0	0	2.3969	1.1075	1.136	1.9616	1.1536	1.0557	1.0721	1.049	0	3.8458	1.0541	2.0302	0	0	0	24.63	28.928	28.394	31.457	30.991	27.311	73.263	71.429	77.326	109.68	108.97	113.95	84.737	81.818	84.539	84.423	84.308	97.075	76.219	96.017	85.462	2.3217	0	0	37.783	35.459	43.636	50.472	49.485	49.329	67.549	83.505	68.578	75.047	81.181	89.158	71.299	75.369	67.592	77.943	71.504	57.803	57.665	67.555	58.471
atpA	28.382	21.795	25.547	28.005	22.986	26.706	28.644	20.757	20.77	28.047	33.812	25.918	22.77	28.796	27.265	27.462	23.072	30.616	36.453	35.667	31.372	40.381	36.895	43.649	28.611	29.608	27.911	30.494	31.071	30.578	25.84	22.136	21.849	25.119	29.762	27.407	23.577	25.701	23.65	28.91	25.989	24.293	27.81	28.468	27.434	28.229	29.872	32.174	23.217	28.145	24.09	25.908	25.164	25.37	28.391	33.65	25.148	25.058	36.84	27.016	39.96	27.412	30.863	33.773	34.259	35.575	33.404	38.201	40.462	32.036	32.309	30.121
atpC	0	0	0.75139	1.0372	0	0	0	0	0	1.5582	1.5369	0.78539	0	0	0	0	0	0	0	0	0	0.96145	1.0541	2.0302	0	1.4804	0	0	0	0	0	0	0	0	0	0.97882	0	1.0281	0	0	0	0	0	0	0	0	0	0	0	1.1258	0	0	0	0	0	0	0	2.179	1.228	1.0391	1.9493	0	1.1431	0	0.97882	0	0	0	0.96338	0	0	0
atpD	34.689	35.323	35.315	42.526	41.793	43.141	40.92	43.698	45.913	36.617	39.959	38.484	39.549	40.978	37.489	39.232	39.222	40.118	48.246	49.304	43.516	46.15	40.057	44.664	45.565	35.53	33.657	41.05	42.857	46.96	39.322	35.418	36.051	46.051	42.659	44.047	37.928	35.982	38.701	38.879	39.465	37.897	43.701	44.892	43.262	39.521	40.541	40.217	33.664	37.151	32.85	45.34	49.185	35.517	46.266	42.557	40.624	50.117	42.98	46.758	49.707	49.552	53.724	45.031	45.026	45.358	45.551	45.057	46.242	36.613	47.974	37.209
atpE	0	0	0	0	0	0	0	0	0										0	0	0	0.96145	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	1.1258	1.095	0	0	0	0	0	0										0	0	0	0	0	0
atpF	4.7303	6.764	6.0111	8.2978	6.2689	7.1901	7.161	6.5547	8.7454	6.2327	6.916	7.8539	5.9922	5.5376	6.8162	5.8848	5.7679	4.2229	6.4329	7.3432	6.0721	5.7687	6.3248	6.0906	9.5369	7.4021	7.3882	7.0371	8.5713	8.7367	7.8644	8.8545	6.5547	5.2331	6.9445	5.8729	8.2006	5.1403	4.3001	5.9815	5.7754	6.802	7.9457	9.8542	9.4965	5.6459	9.6017	10.054	8.1258	9.0064	8.76	8.6361	8.0069	7.1035	8.4121	8.9072	7.7379	7.6265	8.5961	7.2734	7.7971	9.4886	9.1445	8.4433	8.8093	9.783	7.0857	7.836	8.6704	8.2379	8.8116	7.9733
atpG	11.826	11.273	14.276	13.484	11.493	11.299	13.299	12.017	13.118	11.686	15.369	12.566	4.7938	6.6451	9.0883	9.8079	6.9215	9.5015	8.5771	11.539	11.132	7.6916	6.3248	8.1207	12.716	12.584	15.597	12.901	12.857	12.013	11.235	14.389	8.7396	11.513	11.905	14.682	9.2256	9.2525	6.4501	8.9722	5.7754	6.802	8.9389	6.5695	7.3861	9.4098	6.4012	9.0489	11.608	13.51	14.235	11.875	13.726	10.148	15.773	13.856	16.443	17.432	11.052	15.586	14.62	13.706	11.431	12.196	12.725	12.451	12.147	12.734	9.6338	8.2379	8.8116	10.631
atpH	3.1535	3.0062	6.0111	4.1489	0	1.0272	0	1.0925	1.0932	3.8954	3.0738	3.1416	1.1984	2.215	0	1.9616	0	1.0557	1.0721	3.1471	3.036	1.9229	2.1083	2.0302	4.2386	4.4412	3.2836	2.3457	2.1428	3.2763	2.247	1.1068	1.0925	4.1865	1.9841	4.8941	0	0	0	3.9876	0.96256	1.9434	1.9864	2.1898	2.1103	1.882	1.0669	2.0109	0	2.2516	1.095	3.2386	0	0	5.2576	3.9588	3.869	3.2685	1.228	1.0391	5.8478	6.3258	4.5722	3.7526	2.9364	3.5575	2.0245	1.959	2.8901	1.8306	1.9581	0.88592
