# Program:featureCounts v1.5.0-p3; Command:"/users/joonhoonkim/bin/anaconda/bin/featureCounts" "-T" "24" "--primary" "-s" "1" "-t" "exon" "-g" "gene_id" "-a" "NC_017638_pBbA5c_pTrc99A.gtf" "-o" "RNA_Seq_counts_s1.txt" "mapped/bwa_all/3A-0-1.bam" "mapped/bwa_all/3A-0-2.bam" "mapped/bwa_all/3A-1-1.bam" "mapped/bwa_all/3A-12-1.bam" "mapped/bwa_all/3A-12-2.bam" "mapped/bwa_all/3A-1-2.bam" "mapped/bwa_all/3Amk-0-1.bam" "mapped/bwa_all/3Amk-0-2.bam" "mapped/bwa_all/3Amk-12-1.bam" "mapped/bwa_all/3Amk-12-2.bam" "mapped/bwa_all/3Amk-1-2.bam" "mapped/bwa_all/3Amk-1-3.bam" "mapped/bwa_all/WT-0-1.bam" "mapped/bwa_all/WT-0-2.bam" "mapped/bwa_all/WT-1-1.bam" "mapped/bwa_all/WT-12-1.bam" "mapped/bwa_all/WT-12-3.bam" "mapped/bwa_all/WT-1-2.bam" 
Geneid	Chr	Start	End	Strand	Length	mapped/bwa_all/3A-0-1.bam	mapped/bwa_all/3A-0-2.bam	mapped/bwa_all/3A-1-1.bam	mapped/bwa_all/3A-12-1.bam	mapped/bwa_all/3A-12-2.bam	mapped/bwa_all/3A-1-2.bam	mapped/bwa_all/3Amk-0-1.bam	mapped/bwa_all/3Amk-0-2.bam	mapped/bwa_all/3Amk-12-1.bam	mapped/bwa_all/3Amk-12-2.bam	mapped/bwa_all/3Amk-1-2.bam	mapped/bwa_all/3Amk-1-3.bam	mapped/bwa_all/WT-0-1.bam	mapped/bwa_all/WT-0-2.bam	mapped/bwa_all/WT-1-1.bam	mapped/bwa_all/WT-12-1.bam	mapped/bwa_all/WT-12-3.bam	mapped/bwa_all/WT-1-2.bam
yaaY	NC_017638.1	21182	21400	+	219	3	13	12	9	33	4	12	10	8	10	68	4	5	14	49	5	36	23
ribF	NC_017638.1	21408	22349	+	942	2439	1622	884	1018	982	1055	1717	1599	803	616	909	654	2668	2776	1208	136	128	650
ileS	NC_017638.1	22392	25208	+	2817	11613	8273	4840	3934	3130	6611	7109	7164	2099	1395	5357	2768	11823	10884	7590	786	1241	4265
lspA	NC_017638.1	25208	25702	+	495	583	342	317	257	175	403	416	377	138	82	464	148	499	573	615	78	110	357
fkpB	NC_017638.1	25827	26276	+	450	530	427	160	226	179	282	362	230	45	51	227	140	502	343	546	78	184	347
ispH	NC_017638.1	26278	27228	+	951	479	561	82	156	103	175	416	374	39	48	198	97	560	687	460	55	70	87
rihC	NC_017638.1	27294	28208	+	915	2297	1911	219	19	16	380	1128	977	43	25	274	230	1316	1235	142	19	2	106
dapB	NC_017638.1	28375	29196	+	822	353	296	122	8	24	136	197	137	48	20	53	10	328	413	261	0	0	103
ECDH1ME8569_0029	NC_017638.1	29238	29405	-	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
carA	NC_017638.1	29652	30800	+	1149	210	143	185	6	5	411	213	286	261	115	816	511	228	225	893	2	2	210
carB	NC_017638.1	30818	34039	+	3222	365	270	1042	28	19	1462	286	208	1006	558	1716	852	299	338	2384	9	9	1348
ECDH1ME8569_0032	NC_017638.1	34087	34266	-	180	0	0	0	0	0	0	0	9	0	0	11	0	0	0	0	0	0	0
caiF	NC_017638.1	34301	34696	+	396	54	66	38	3	1	39	73	52	17	1	31	9	99	107	37	0	9	85
caiE	NC_017638.1	34782	35372	-	591	2	1	0	0	0	4	6	0	0	1	8	0	12	1	2	0	0	2
caiD	NC_017638.1	35378	36271	-	894	6	12	0	2	0	6	6	0	0	1	0	0	2	8	5	0	0	0
caiC	NC_017638.1	36272	37825	-	1554	93	83	21	51	12	11	59	59	9	9	15	9	84	102	42	0	1	4
caiB	NC_017638.1	37899	39116	-	1218	247	143	37	51	19	118	149	131	25	21	180	79	213	261	231	15	38	58
caiA	NC_017638.1	39245	40387	-	1143	339	326	91	76	30	281	260	200	99	25	252	215	195	330	349	18	42	303
caiT	NC_017638.1	40418	41932	-	1515	47	28	18	8	0	29	5	19	3	9	67	2	49	35	16	0	1	22
fixA	NC_017638.1	42404	43174	+	771	3	8	38	1	10	1	10	6	0	5	8	0	12	3	10	0	0	9
fixB	NC_017638.1	43189	44130	+	942	16	10	13	1	0	5	12	19	0	0	0	1	4	23	13	0	0	0
fixC	NC_017638.1	44181	45467	+	1287	1	0	0	0	0	1	4	1	0	0	5	1	0	2	0	0	0	0
fixX	NC_017638.1	45464	45751	+	288	4	0	0	0	0	10	0	0	0	0	0	0	3	0	0	0	0	0
yaaU	NC_017638.1	45808	47139	+	1332	14	46	16	4	7	7	13	8	7	2	16	12	12	23	12	0	0	7
kefF	NC_017638.1	47247	47777	+	531	68	40	67	9	7	44	57	38	42	27	23	1	45	42	74	0	7	42
kefC	NC_017638.1	47770	49632	+	1863	332	244	99	24	17	233	278	294	66	55	196	80	253	337	367	0	18	248
folA	NC_017638.1	49713	50303	+	591	395	408	94	198	125	89	406	444	62	52	135	40	373	654	406	29	15	197
apaH	NC_017638.1	50381	51223	-	843	802	711	69	157	197	128	679	591	79	46	505	192	612	1011	480	37	34	236
apaG	NC_017638.1	51230	51607	-	378	161	123	32	83	109	11	118	88	59	23	41	11	110	100	122	16	0	81
ksgA	NC_017638.1	51610	52431	-	822	1256	1148	229	540	724	356	1177	999	224	137	966	311	1186	1562	930	41	46	390
pdxA	NC_017638.1	52428	53417	-	990	869	528	64	39	73	198	419	448	45	44	191	98	492	572	321	1	8	122
surA	NC_017638.1	53417	54703	-	1287	12320	9046	2811	2234	1879	4426	7701	7858	1146	735	4027	2277	15962	10617	7043	187	295	4021
imp	NC_017638.1	54756	57110	-	2355	10802	7598	3449	3905	3821	4952	6788	7209	1683	1038	4064	2208	10018	11623	8309	379	430	5181
djlA	NC_017638.1	57365	58180	+	816	434	356	149	9	12	223	393	343	1	16	160	100	332	427	128	0	1	110
yabP	NC_017638.1	58475	59125	+	651	1045	632	229	127	168	353	525	554	67	53	375	151	333	761	237	10	28	213
yabQ	NC_017638.1	59122	59280	+	159	84	45	29	20	15	7	29	45	16	9	22	12	39	31	21	2	1	15
rluA	NC_017638.1	59688	60347	-	660	132	140	82	183	212	25	166	151	229	132	161	92	104	95	248	342	343	286
hepA	NC_017638.1	60359	63265	-	2907	1348	1114	408	1238	1148	444	1015	1008	908	613	1947	844	855	1303	1581	1356	1977	828
polB	NC_017638.1	63430	65781	-	2352	609	482	496	241	205	569	378	409	612	490	882	569	311	421	751	294	552	672
araD	NC_017638.1	65856	66551	-	696	0	0	0	3	7	0	9	0	0	4	0	4	5	5	0	0	0	0
araA	NC_017638.1	66836	68338	-	1503	20	36	10	3	10	1	18	27	10	5	35	19	36	36	11	0	0	0
araB	NC_017638.1	68349	70049	-	1701	17	13	0	0	0	3	13	5	0	6	3	0	17	22	8	0	0	13
araC	NC_017638.1	70388	71266	+	879	63	29	4	79	91	26	39	20	14	10	22	13	27	20	68	0	1	66
yabI	NC_017638.1	71352	72116	+	765	172	53	33	49	22	48	49	104	35	31	63	42	53	62	148	16	9	65
thiQ	NC_017638.1	72230	72928	-	699	22	10	0	0	0	0	24	28	0	4	37	0	57	23	4	0	1	1
thiP	NC_017638.1	72912	74522	-	1611	70	58	30	0	0	34	27	58	7	33	31	8	64	121	46	0	0	28
tbpA	NC_017638.1	74498	75481	-	984	98	79	16	0	15	20	125	79	25	25	69	20	123	108	86	8	4	19
setA	NC_017638.1	77640	78800	+	1161	219	250	99	51	48	218	166	218	68	53	105	73	145	199	197	5	0	103
leuD	NC_017638.1	78849	79454	-	606	1926	1917	263	462	491	284	641	654	17	34	91	45	181	120	405	1	18	187
leuC	NC_017638.1	79465	80865	-	1401	3494	3453	411	1232	903	763	962	1030	92	37	129	59	325	453	717	27	18	626
leuB	NC_017638.1	80868	81959	-	1092	2695	2526	255	533	431	307	848	982	65	30	146	152	211	320	461	8	17	170
leuA	NC_017638.1	81959	83530	-	1572	1448	1199	99	422	378	89	390	506	57	15	126	65	183	178	167	3	21	104
leuL	NC_017638.1	83623	83709	-	87	67	32	10	0	0	2	1	3	0	3	3	0	10	3	6	0	0	0
leuO	NC_017638.1	84351	85313	+	963	49	13	11	15	0	44	14	10	0	5	2	25	19	9	15	0	0	2
ilvI	NC_017638.1	85631	87355	+	1725	616	550	172	57	35	384	541	419	43	22	156	30	1158	1195	208	4	19	266
ilvH	NC_017638.1	87358	87849	+	492	248	216	94	8	5	155	191	215	21	11	43	46	407	418	126	1	0	59
fruR	NC_017638.1	88029	89033	+	1005	2511	2235	523	68	63	715	1141	1048	75	79	433	338	1606	1309	772	24	36	318
mraZ	NC_017638.1	89635	90093	+	459	1084	976	673	47	117	1043	718	594	189	106	628	233	854	867	1016	16	31	695
mraW	NC_017638.1	90095	91036	+	942	1279	941	467	180	112	733	785	693	108	57	437	261	764	1137	1322	14	17	1210
ftsL	NC_017638.1	91033	91398	+	366	661	446	369	224	217	540	405	412	64	94	398	206	407	596	831	10	40	597
ftsI	NC_017638.1	91414	93180	+	1767	820	662	318	130	84	330	398	396	80	62	200	123	590	613	368	9	5	285
murE	NC_017638.1	93167	94654	+	1488	2687	2025	688	256	170	932	1318	1569	196	97	779	306	2076	2236	1757	16	25	1386
murF	NC_017638.1	94651	96009	+	1359	3770	2548	801	291	329	1359	1603	1468	222	111	1252	470	2753	2532	2496	43	46	1787
mraY	NC_017638.1	96003	97085	+	1083	1802	1329	584	82	71	794	843	817	90	99	468	325	1334	1385	1199	7	27	1134
murD	NC_017638.1	97088	98404	+	1317	2239	1922	773	133	150	1232	1444	1723	75	44	832	361	1874	2787	2129	9	19	978
ftsW	NC_017638.1	98404	99648	+	1245	718	597	469	79	70	674	440	469	56	36	175	122	721	674	587	4	10	477
murG	NC_017638.1	99645	100712	+	1068	870	652	175	31	83	325	503	331	76	39	184	81	556	329	633	4	7	231
murC	NC_017638.1	100766	102241	+	1476	2580	1818	408	161	109	695	1282	1487	103	68	635	229	2106	1926	1590	30	14	652
ddlB	NC_017638.1	102234	103154	+	921	2133	1318	1989	337	255	2396	1293	1250	333	378	1439	1044	1607	2677	3974	23	60	3141
ftsQ	NC_017638.1	103156	103986	+	831	2888	2655	984	239	259	1754	2400	2152	258	144	1375	536	1876	2360	4831	27	83	2825
ftsA	NC_017638.1	103983	105245	+	1263	9422	7258	3705	747	724	5701	6665	7531	616	571	3953	2217	5756	6897	10915	77	90	9682
ftsZ	NC_017638.1	105306	106457	+	1152	10319	7991	1818	1244	994	3798	6016	6287	562	208	3065	930	8169	8151	7897	118	151	4000
lpxC	NC_017638.1	106558	107475	+	918	8524	7365	2008	1832	1501	3425	5546	5443	1602	1194	2355	1095	6086	7657	6425	914	953	3557
secM	NC_017638.1	107631	108218	+	588	2166	2007	1136	295	198	1403	1986	1737	565	285	1135	666	1434	2500	2376	179	172	1159
secA	NC_017638.1	108280	110985	+	2706	21693	22168	3713	737	624	5846	22823	23555	1284	614	9283	3728	20805	33907	4981	306	519	2272
mutT	NC_017638.1	111045	111434	+	390	550	485	56	9	4	145	425	382	34	6	101	53	388	832	104	9	0	107
yacG	NC_017638.1	111650	111847	-	198	377	262	83	50	42	158	210	132	40	66	155	148	307	338	93	10	11	119
yacF	NC_017638.1	111857	112600	-	744	987	882	188	144	161	298	579	616	96	53	447	192	783	946	404	31	33	284
coaE	NC_017638.1	112600	113220	-	621	354	263	61	106	66	123	206	201	40	55	116	29	227	391	241	8	0	128
hofC	NC_017638.1	114523	115725	-	1203	35	25	26	1	3	2	24	30	2	7	52	12	15	24	46	0	0	15
hofB	NC_017638.1	115715	117100	-	1386	30	53	64	37	9	47	36	35	7	33	78	36	76	47	82	0	31	74
ppdD	NC_017638.1	117110	117550	-	441	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
nadC	NC_017638.1	117753	118646	-	894	780	540	423	81	50	418	456	461	67	85	265	161	617	746	687	10	3	280
ampD	NC_017638.1	118734	119285	+	552	113	78	46	21	8	58	27	40	4	20	41	27	109	56	59	10	2	50
ampE	NC_017638.1	119282	120136	+	855	221	210	146	38	59	216	148	143	62	5	138	30	163	187	261	13	25	257
aroP	NC_017638.1	120179	121552	-	1374	962	873	234	112	131	321	603	608	102	35	298	203	1144	1360	390	18	26	228
pdhR	NC_017638.1	122093	122857	+	765	2810	2025	377	170	231	514	1345	1180	311	227	2155	858	254	289	115	49	151	111
aceE	NC_017638.1	123018	125681	+	2664	71710	52584	7612	6223	4364	13690	25455	19867	5792	2270	49821	18652	21760	20105	6811	465	541	3577
aceF	NC_017638.1	125696	127588	+	1893	8800	7094	1259	455	364	1922	3923	3293	937	436	7367	2576	2639	2399	1199	76	82	748
lpd	NC_017638.1	127913	129337	+	1425	10252	6690	2298	837	652	2864	3909	3712	1341	748	7918	3429	4183	3136	3265	160	129	1593
yacH	NC_017638.1	129408	131261	-	1854	29	2	0	19	0	1	7	9	8	13	18	17	10	5	26	1	33	15
acnB	NC_017638.1	131616	134213	+	2598	10800	8885	9095	3212	2491	15665	5100	5336	1941	1596	28219	9632	5088	4674	29477	150	291	13126
yacL	NC_017638.1	134389	134751	+	363	889	616	413	67	62	1344	388	399	42	16	684	266	511	408	1322	34	27	917
speD	NC_017638.1	134789	135583	-	795	1952	1340	297	196	229	575	1269	920	546	189	1299	455	712	774	1515	39	48	526
speE	NC_017638.1	135599	136465	-	867	2023	1382	324	164	249	703	812	731	368	160	641	432	479	802	1284	50	34	717
yacC	NC_017638.1	136571	136918	-	348	918	763	704	66	132	854	736	773	332	341	424	345	508	723	894	1	49	1099
cueO	NC_017638.1	137084	138634	+	1551	368	296	87	196	97	205	278	305	64	53	170	46	542	433	392	13	28	136
gcd	NC_017638.1	138836	141226	-	2391	367	353	1039	3303	2444	1370	256	201	631	548	1241	639	68	110	2660	68	72	1573
hpt	NC_017638.1	141432	141968	+	537	1777	2082	1380	188	161	1530	2048	2217	399	221	905	429	2106	2214	1490	32	50	1117
can	NC_017638.1	142009	142671	-	663	509	367	183	9	11	146	257	276	116	130	92	92	282	248	186	41	30	102
yadG	NC_017638.1	142780	143706	+	927	1059	740	301	281	261	616	677	663	126	74	437	275	617	660	691	31	50	366
yadH	NC_017638.1	143703	144473	+	771	1313	1032	1431	476	484	1415	751	980	210	209	898	489	974	1026	1696	73	80	2058
yadI	NC_017638.1	144578	145018	+	441	182	173	49	17	30	60	66	86	16	24	60	66	91	83	157	2	1	84
yadE	NC_017638.1	145082	146311	+	1230	168	100	87	20	32	61	103	104	66	36	141	61	60	60	64	0	15	23
panD	NC_017638.1	146315	146695	-	381	606	653	173	20	15	186	446	428	47	51	116	61	543	574	234	1	1	245
yadD	NC_017638.1	146969	147871	+	903	98	66	137	13	2	220	70	83	9	14	165	136	66	63	210	3	12	181
panC	NC_017638.1	147945	148796	-	852	5545	4014	864	480	313	1661	3877	3932	236	209	1558	570	5628	7352	3666	62	49	1258
panB	NC_017638.1	148808	149602	-	795	841	603	163	56	81	176	486	505	67	51	199	100	984	1453	351	3	3	198
yadC	NC_017638.1	149716	150954	-	1239	39	9	0	25	18	1	22	32	8	0	0	0	10	6	10	0	0	3
yadK	NC_017638.1	151004	151600	-	597	8	0	0	1	8	0	2	0	0	0	0	0	4	0	0	0	0	0
yadL	NC_017638.1	151627	152232	-	606	16	15	25	52	29	16	19	19	14	0	0	9	18	8	38	1	2	56
yadM	NC_017638.1	152244	152813	-	570	12	10	1	6	22	8	5	16	3	10	18	18	3	4	10	0	0	0
htrE	NC_017638.1	152830	155427	-	2598	46	16	4	14	0	18	1	10	0	0	3	3	36	2	15	0	8	2
ecpD	NC_017638.1	155462	156202	-	741	0	0	0	0	0	0	11	1	0	1	0	12	0	0	0	0	0	0
yadN	NC_017638.1	156300	156884	-	585	3	24	0	0	0	0	0	1	0	1	0	0	2	3	0	0	0	0
folK	NC_017638.1	157254	157733	-	480	32	43	16	3	0	8	56	35	31	2	60	0	31	60	8	0	0	0
pcnB	NC_017638.1	157730	159094	-	1365	1215	922	192	118	74	324	1151	1309	419	185	819	455	1199	2045	643	22	34	436
yadB	NC_017638.1	159187	160113	-	927	229	111	66	23	0	112	139	88	62	85	91	105	93	99	169	4	8	125
dksA	NC_017638.1	160150	160605	-	456	2425	1933	732	405	288	950	1226	1097	521	275	793	464	1183	1703	3972	89	138	1618
sfsA	NC_017638.1	160783	161487	-	705	1824	1229	1105	633	536	1590	1076	1111	737	409	1544	698	1120	1035	4749	97	78	4651
ligT	NC_017638.1	161502	162032	-	531	227	166	34	10	30	81	97	129	31	19	64	22	133	202	93	10	1	35
hrpB	NC_017638.1	162061	164535	+	2475	1517	1059	335	133	77	512	761	652	181	161	786	312	1107	1182	999	21	2	646
mrcB	NC_017638.1	164731	167265	+	2535	2068	1772	481	210	138	629	1332	1530	228	180	801	415	2410	2270	849	45	63	600
fhuA	NC_017638.1	167485	169728	+	2244	595	497	374	181	119	512	396	381	890	536	292	82	312	197	384	110	221	175
fhuC	NC_017638.1	169779	170576	+	798	98	47	24	10	18	44	39	38	43	11	32	0	17	37	46	0	19	35
fhuD	NC_017638.1	170576	171466	+	891	75	49	10	24	16	45	98	92	25	35	13	1	54	30	55	2	11	42
fhuB	NC_017638.1	171463	173445	+	1983	137	93	75	5	23	48	46	69	16	29	51	31	64	115	72	0	0	86
hemL	NC_017638.1	173603	174883	-	1281	778	562	171	156	113	236	457	418	51	76	243	102	773	630	581	10	15	238
clcA	NC_017638.1	175108	176529	+	1422	4461	2821	1851	803	756	2092	2432	2729	785	389	1949	2200	1752	2764	3964	226	392	3274
yadR	NC_017638.1	176611	176955	+	345	584	385	246	152	159	305	391	370	371	321	285	116	341	329	315	45	111	377
yadS	NC_017638.1	177002	177625	-	624	111	56	31	0	5	25	49	49	40	11	54	3	108	132	24	0	1	25
btuF	NC_017638.1	177663	178463	-	801	409	383	62	8	19	100	211	184	63	24	141	73	390	368	181	0	7	36
mtn	NC_017638.1	178456	179154	-	699	3478	3506	754	209	158	1791	2078	2170	366	262	1001	403	2944	2928	2847	45	35	1115
dgt	NC_017638.1	179238	180755	+	1518	980	899	479	391	296	640	702	667	126	72	641	263	753	695	931	6	11	381
degP	NC_017638.1	180885	182309	+	1425	956	845	336	296	165	499	1150	1131	253	161	752	277	3793	3705	1285	60	71	670
cdaR	NC_017638.1	182464	183621	+	1158	242	207	17	0	0	67	140	166	2	8	71	17	144	191	37	7	0	20
yaeH	NC_017638.1	183710	184096	-	387	188	150	91	181	134	256	135	141	105	70	92	53	219	162	476	11	14	391
yaeI	NC_017638.1	184258	185070	-	813	110	108	28	1	6	69	65	74	35	20	55	7	58	59	52	2	8	18
dapD	NC_017638.1	185124	185948	-	825	1353	1022	252	76	97	406	675	711	80	40	314	240	1136	1123	591	8	11	266
glnD	NC_017638.1	185979	188651	-	2673	1199	833	438	464	519	851	747	718	258	121	2037	869	536	612	821	56	106	696
map	NC_017638.1	188713	189507	-	795	8198	6199	1483	563	487	2483	4247	4241	440	249	2475	1068	3776	5240	2118	167	106	1097
rpsB	NC_017638.1	189875	190600	+	726	71609	48863	9220	3098	2321	17898	31462	28960	8287	2270	33277	16315	25879	42560	36293	746	1083	13863
tsf	NC_017638.1	190858	191709	+	852	20400	16847	1792	687	517	2675	9401	9472	853	266	8419	2676	9790	10747	6434	181	111	2054
pyrH	NC_017638.1	191856	192581	+	726	2065	1934	1795	437	479	2310	1929	2156	1080	670	3541	2606	1995	2103	2302	105	137	2639
frr	NC_017638.1	192873	193430	+	558	17772	12681	3616	1533	1383	5157	9591	10279	1747	1270	5815	2816	11719	13208	14302	211	328	4753
dxr	NC_017638.1	193522	194718	+	1197	1051	998	200	122	89	350	930	885	156	119	558	174	937	1129	826	64	53	329
ispU	NC_017638.1	194904	195665	+	762	999	646	64	136	113	146	664	595	84	68	264	105	583	1080	386	1	20	119
cdsA	NC_017638.1	195678	196535	+	858	1156	969	218	160	137	464	760	925	162	47	423	208	671	1271	517	12	19	437
yaeL	NC_017638.1	196547	197899	+	1353	3949	2143	897	305	393	1019	2359	2465	462	314	941	561	3665	3177	1802	11	41	1471
yaeT	NC_017638.1	197929	200361	+	2433	10545	9256	4733	1306	1137	7355	9477	9739	2456	1299	5759	3312	11563	12534	10180	107	120	6486
skp	NC_017638.1	200483	200968	+	486	1359	1349	487	163	124	613	1041	1163	406	200	627	269	1889	1726	1873	11	15	753
lpxD	NC_017638.1	200972	201997	+	1026	4096	3653	684	641	569	1023	3113	3777	720	503	1225	569	4286	3873	2208	117	77	1011
fabZ	NC_017638.1	202102	202557	+	456	3370	3262	464	558	438	687	2963	2905	496	246	1128	601	2627	3600	2219	13	81	829
lpxA	NC_017638.1	202561	203349	+	789	2225	2453	120	293	251	325	1848	1904	143	50	531	242	2067	3108	1022	52	54	361
lpxB	NC_017638.1	203349	204497	+	1149	1206	998	165	199	126	244	845	810	207	66	386	128	727	1479	494	70	29	318
rnhB	NC_017638.1	204494	205090	+	597	1362	1060	391	161	287	631	933	1009	164	169	819	639	742	1190	576	2	40	817
dnaE	NC_017638.1	205127	208609	+	3483	6610	5732	1686	1010	958	2237	5560	5571	1138	921	2568	1268	4500	7655	3556	94	193	3652
accA	NC_017638.1	208622	209581	+	960	4630	3546	467	303	188	779	2984	2808	273	172	763	389	3104	5073	1468	32	49	609
ldcC	NC_017638.1	209680	211821	+	2142	997	707	969	749	612	1688	635	778	551	398	1737	740	491	465	3060	58	100	2626
yaeR	NC_017638.1	211878	212267	+	390	387	223	231	109	114	349	237	160	170	99	221	114	238	240	703	16	49	470
tilS	NC_017638.1	212332	213630	+	1299	925	719	139	57	41	328	533	577	185	87	481	211	685	897	580	10	41	338
rof	NC_017638.1	213679	213939	-	261	143	60	101	173	142	148	88	101	123	100	75	48	86	64	206	32	15	150
yaeP	NC_017638.1	213926	214126	-	201	1004	917	432	759	456	735	403	290	117	92	188	259	833	396	2939	35	135	1388
yaeQ	NC_017638.1	214292	214837	+	546	978	831	179	56	44	328	556	488	97	62	449	182	665	664	535	12	56	138
yaeJ	NC_017638.1	214834	215256	+	423	209	175	116	68	70	97	128	194	41	62	146	100	217	165	167	2	0	55
nlpE	NC_017638.1	215270	215980	+	711	369	402	252	58	94	226	322	246	152	162	339	104	245	262	412	17	25	252
yaeF	NC_017638.1	216180	217004	-	825	180	113	17	0	0	22	138	125	19	5	59	35	95	111	60	0	0	27
proS	NC_017638.1	217058	218776	-	1719	8569	7182	683	627	596	1602	6104	5693	325	111	1709	570	8887	9981	2945	143	182	908
yaeB	NC_017638.1	218888	219595	-	708	321	263	40	20	24	45	259	242	18	20	51	57	262	317	70	11	5	39
rcsF	NC_017638.1	219592	219996	-	405	771	800	182	17	20	258	670	612	91	38	309	108	850	808	331	20	37	108
metQ	NC_017638.1	220114	220929	-	816	3918	2883	1621	294	386	2241	2601	2308	2014	1177	5521	3839	2784	3344	7693	65	63	4067
metI	NC_017638.1	220969	221622	-	654	222	151	118	31	20	193	136	112	339	178	869	460	96	113	383	9	6	437
