	category	3A_12_log2FC	3Amk_12_log2FC
ilvB	gene	1.06753378722497	0.807974700935991
ilvD	gene	1.80254911840247	-2.58712893907403
ilvE	gene	1.61707370834521	-2.64445585495134
infC	gene	-1.04739228957342	0.0656066281538237
iraP	gene	1.57400325417643	-2.76265879274212
iscA	gene	0.0198099620588715	-1.1314755620843
iscS	gene	-0.236741250899147	-2.07673336192151
iscU	gene	-0.10982834498275	-2.05305117435258
ispG	gene	0.0744199998749417	-1.21969479652785
kdgT	gene	-1.01542397602658	3.24635319010489
kefA	gene	1.81619015255758	1.57363376635448
lamB	gene	-1.9458168369465	-1.16094689651035
ldcA	gene	0.602340213895631	1.69418866367374
ldhA	gene	-1.08702572756805	-1.25656326863264
leuA	gene	2.81407000088576	-0.555296178062184
leuB	gene	2.96797073068959	-0.221418839003801
leuC	gene	3.19518135607172	-0.707023389314191
leuD	gene	3.42537055141478	-0.516659569275125
lipB	gene	-4.057958470566	-3.89243329702745
lit	gene	-5.60820252877116	0.428406501781483
lldD	gene	3.16358736455277	2.67611424257054
lldP	gene	3.47737862359874	3.34510116049284
lnt	gene	-4.92763586099622	-3.4056869323467
lolB	gene	1.77856553466669	0.652249197395307
lon	gene	-3.61371147954546	-3.94717620155539
lptB	gene	1.26177238337967	-0.0902017163510104
lpxK	gene	1.6245945976642	2.26294043802523
lspA	gene	-1.12855510774611	-1.91995848413849
malE	gene	-2.37867035480473	-1.84438319886631
malG	gene	-2.72333246661568	-1.80354340790962
malK	gene	-2.39607009834728	-2.03512499036568
mazG	gene	-1.9522973626577	-1.715876947663
mdh	gene	1.78260356606002	3.52077523596798
mdoB	gene	-1.49329174956044	1.36508410808484
menB	gene	-1.62384775871528	-0.926293709195587
menE	gene	-1.51671443022112	0.688524708554818
mepA	gene	1.09164847395131	2.30876072743482
metE	gene	-3.50275382074673	-2.09105857019722
metI	gene	-0.589976196729847	2.91406274993178
metK	gene	-5.10147389272945	-0.181178444501244
metN	gene	-1.97377164830713	1.42283101401872
metQ	gene	0.0740275783132882	2.45776434245697
miaA	gene	-3.58053104269209	-2.6958429186157
mioC	gene	-1.09658787507698	1.62690470726281
mltB	gene	1.81141716762141	3.40856984762914
mnmC	gene	-1.09483439423177	1.17319611843194
moaA	gene	-1.64126245077164	-1.89467482614654
moaD	gene	-1.50375448731813	-2.1879729581906
mrcA	gene	-0.896428669184533	1.16308954112609
mrdA	gene	-0.349149072226574	1.01036760043085
mscL	gene	2.57189652816885	1.25023238653055
mscS	gene	3.20987878192815	1.83067957123091
mtgA	gene	2.5941292324245	3.64439468582625
mutH	gene	3.96493595678012	3.79840112566334
mutL	gene	1.8117714024035	1.76268073620816
nhaB	gene	2.15706564748675	2.00438798385026
nuoB	gene	3.12982770156536	2.8042475026673
nuoG	gene	2.187819480286	1.08959226642279
nuoH	gene	2.93844171198591	2.38791372720928
nuoI	gene	7.39785509822357	6.60982434352458
nuoL	gene	1.78915122909389	1.65581392065072
nuoM	gene	3.547785157615	3.01738731165156
panE	gene	1.07571484722622	-0.934911625993396
parC	gene	-1.72450501362518	-0.934226809527952
pbpC	gene	-0.416457956823427	1.45511028684887
pdxH	gene	-1.85658118583442	-0.907568324709097
pdxY	gene	-1.82829980820471	0.318303619386579
pepA	gene	2.79239553680237	1.32958983292533
pflA	gene	-2.88090701031141	-1.62053400435009
phoQ	gene	-3.3455598828094	-2.0664623751273
phoR	gene	-0.379316736745362	-5.04837705969384
phoU	gene	-0.959876716364732	-5.89286280429937
pncB	gene	-2.0025687130782	-0.708174395801939
pntA	gene	-1.59439687132357	-0.406763976343
potF	gene	3.81658336730018	3.00800195660211
potG	gene	4.48215159382642	2.24207011496242
potH	gene	6.61807400509372	4.1510956442421
pphA	gene	-2.93498783199724	-5.365682198331
prfC	gene	-3.24848321497845	-2.19521454737178
prpB	gene	3.37092819974292	-3.52617208476427
prpC	gene	3.44767564109457	-5.08246620519915
prpD	gene	3.89854313466896	-2.17635947302994
prsA	gene	0.425280391763084	1.43566581704047
pstS	gene	-0.642137559430267	-5.12341418319243
purA	gene	-0.319099895799316	1.93079842707195
purC	gene	-0.692823529619577	1.72553832590589
purD	gene	-0.951241439600533	2.3540134349758
purF	gene	0.121849935919386	1.53888633118586
purK	gene	-1.76466388067939	2.75399003997896
purL	gene	0.25164393411624	4.60506704875258
putP	gene	1.1445866334483	-0.261306565491624
queA	gene	-1.80291378410541	-0.764478969683206
rcnA	gene	2.35735874263606	4.93461631781003
recC	gene	2.1459534886848	1.34772424216051
recD	gene	1.89684963520673	2.34428572353527
recG	gene	-1.79508014598759	-0.0348712390764247
recQ	gene	-2.33994479887592	0.902579556846418
relA	gene	-1.12903711232421	-1.27303584509171
relE	gene	-1.31056516585509	-4.31423999796227
rfaB	gene	0.73347639072156	1.61142815176519
rfaC	gene	-1.45244338881922	1.59035167697541
rfaG	gene	1.44648230971981	1.6061384096151
rfaI	gene	-0.294827344923793	1.56594347246894
rfaL	gene	-3.27944343555345	2.10232550786536
rfaP	gene	4.24631546808578	4.87643916402284
rfaQ	gene	2.3436798579898	2.21495436667893
rfaS	gene	0.894094824463057	2.16137094300187
rfaY	gene	1.6098603614842	2.86260682565148
rfaZ	gene	3.22266962976522	4.76442751080124
rhtA	gene	3.97116838177532	4.92569129455483
rimM	gene	-1.56439569054642	-0.100390584227367
rmf	gene	-2.93594604851693	-4.74060746205687
rplA	gene	-2.44090341843333	-0.0440172679102889
rplD	gene	-1.47701000777271	1.92641984996307
rplE	gene	-1.12236039834943	-0.122740982658096
rplI	gene	-1.54410415155541	2.23406567567274
rplK	gene	-3.84566460161455	-0.736967656133243
rplT	gene	-2.00960711652646	0.784953564421812
rplY	gene	-8.04520232606557	-0.982673818324139
rpoD	gene	-3.01989104291821	-4.09060732555951
rpoH	gene	-3.40741239340474	-2.56364190643308
rpsD	gene	-1.51170175523748	-0.29972627681923
rpsG	gene	-1.96684551108499	-1.19321450718294
rpsH	gene	-1.07610351192278	-0.191614224389215
rpsL	gene	-2.58041114047836	-1.37442736529412
rpsM	gene	-1.14619987261743	0.153609943702486
rpsN	gene	-1.27925137278724	-0.0918339800922529
rpsP	gene	-1.43013157277169	-0.310766498228463
rpsQ	gene	-1.58125529119332	1.57219253477313
rpsS	gene	-2.26295559841553	1.80692246921478
rstB	gene	-1.55713501845662	-1.6235076205599
sad	gene	-3.1037194714703	-4.2003536028425
sbcC	gene	4.92015147909663	4.98480290324372
sdhA	gene	1.98208294781466	3.45394634078774
sdhB	gene	2.01573006008763	4.48562930235947
secM	gene	-1.88227275103665	-0.936353377161232
setA	gene	1.93697027957781	2.42726362117492
sixA	gene	-1.32576537241046	-2.40015410640931
slt	gene	0.295134904034011	1.1409945281029
sohA	gene	0.388748458539672	-1.5379173715976
spr	gene	0.292935109598404	5.88745881137856
sucA	gene	1.57854255882363	3.64976586876281
sucC	gene	1.87519806653453	2.97517280034028
sufA	gene	-0.00388373735493674	-2.76797043451533
sufB	gene	-0.853702557379871	-1.77873338494763
sufD	gene	-0.575067352245763	-2.10783099285533
sufS	gene	-0.584316516502778	-1.89275183639804
sxy	gene	-3.75568311162955	-1.49215750365428
tadA	gene	-1.35999147447507	-0.424560843312337
tehA	gene	4.26876067811708	4.34630019602966
thiD	gene	-5.70472828091144	-0.356219546222557
tilS	gene	-1.31702439298083	0.3066740159515
tonB	gene	-3.30458662356968	-0.286232279004436
topA	gene	-1.68366223046149	-0.454128327400291
tpiA	gene	0.469980365197697	1.04771399360722
trmU	gene	-1.11306972292456	-0.638441358702818
typA	gene	-1.9820914069037	-0.670055278757025
ubiG	gene	-1.66308230577945	-0.564420677774362
ubiH	gene	-1.41360683967504	-0.654370543580114
upp	gene	0.179052633290715	1.70197825970385
visC	gene	-3.21308533454896	-1.02086903130551
waaU	gene	3.74199809649926	5.38865150230398
yadR	gene	-1.26378771668263	0.102487450357759
yafM	gene	6.15698940291483	4.0755541588492
yafQ	gene	-1.35611668870402	-1.94729098028884
ybaK	gene	-1.97798067018366	-1.16039193617018
ybdB	gene	-3.65714777714885	-0.84674881569501
ybeY	gene	-4.94168819682546	-3.56520015230711
ybiS	gene	-1.0058930178063	-1.16588761187076
ybjN	gene	-2.61330293609318	-0.887778964891815
yccK	gene	-2.74377325863188	-1.63233176505752
yciH	gene	-2.67696251915407	-3.83389263035002
yddG	gene	3.5467844952416	3.55447148507978
ydeH	gene	-1.97500635158887	-0.842483814130359
ydhO	gene	0.724805299836381	4.60820522726555
yeaE	gene	0.189489670377018	-2.11073628198264
yeaG	gene	-1.29685811571636	-3.18706534972668
yeaK	gene	-1.91822355070974	-0.518734109048541
yehU	gene	-1.75893225833142	-1.16654323793306
yehX	gene	2.96447032017361	2.45005310415825
yfjG	gene	-1.29521518145322	0.670356432332251
ygcM	gene	-0.358119444663818	3.66175027526127
yhdL	gene	-6.43326147413063	-3.13265805832552
yhhP	gene	-2.4206720883637	-0.912221416580031
yhjD	gene	1.04900272320624	-0.167498535919737
yhjQ	gene	3.99619365954295	2.54395890330612
yhjR	gene	3.84484729475442	3.74851658215805
yhjX	gene	-2.04719896418578	-1.77604057875953
yiaC	gene	-2.06753637916856	-4.40265775218656
yihU	gene	-4.96119337838084	-4.3125072792538
yjiY	gene	-1.86952610506447	-1.89495344484004
yncA	gene	-2.61225475431224	-2.21841563203922
yodA	gene	-1.50220950975742	-3.16720742488738
yoeB	gene	-1.88086280347824	-2.82048351703694
yohN	gene	3.89323913286375	4.64137248405663
yqeA	gene	-4.74040155690887	-4.50562505001049
yqjB	gene	-4.28740948432001	-2.1570682243155
yqjH	gene	0.485257059739496	3.58234129967156
yrbC	gene	1.82264400393122	0.329752044973742
yrbE	gene	2.09439024286699	0.672620112402755
yrbF	gene	1.33616931612387	-0.18018250666831
zntA	gene	2.85253424912992	3.24220266225832
aerobic respiration	GO	2.79054429647737	3.28081652277541
arginine catabolic process	GO	-4.5689900291553	-4.31028462790815
branched-chain amino acid biosynthetic process	GO	2.35666967365553	-1.09013508320541
branched-chain amino acid metabolic process	GO	2.21434135960783	-1.07288803240407
carbohydrate derivative biosynthetic process	GO	0.113731222762409	2.07501371897532
cation transport	GO	3.03928106295157	2.87569479034931
cellular aldehyde metabolic process	GO	0.681701588087062	-1.73711029988754
cellular response to nutrient levels	GO	-2.48181124875742	-2.72684535522656
cellular response to phosphate starvation	GO	-0.101831939590982	-4.70682820998194
cellular water homeostasis	GO	2.45573535684518	1.53566439713129
cellulose metabolic process	GO	3.27845005232785	2.43445719090795
cofactor metabolic process	GO	-2.51656534084511	-0.228398004390641
D-methionine transport	GO	-0.829906755574562	2.26488603546915
DNA recombination	GO	3.59461942791103	3.32895881643489
electron transport coupled proton transport	GO	2.68411978663758	2.70083790599401
enterobactin biosynthetic process	GO	-3.38204179306066	0.0548465641306671
gluconate transport	GO	-3.49461589507522	0.431684535756188
glutamine metabolic process	GO	0.0233081527561517	3.13134257028911
glycine catabolic process	GO	-1.55016460189524	2.11876595842038
glyoxylate cycle	GO	1.67170262437571	-0.357263024278622
iron chelate transport	GO	-3.8541542667379	-0.334182922053057
iron-sulfur cluster assembly	GO	-0.334818542472339	-1.97264953529639
lipid localization	GO	1.56572974603681	0.183244901558902
lipid transport	GO	1.5353246333754	0.116244287867987
lipopolysaccharide core region biosynthetic process	GO	1.23637144725803	2.7506314974313
methylglyoxal catabolic process	GO	0.241772054234207	-1.73104480899401
organelle organization	GO	-1.76241757202431	0.124161568926562
peptide biosynthetic process	GO	-2.63114666095167	0.104214414757077
peptidoglycan metabolic process	GO	0.695519303255222	2.52425095114375
pH elevation	GO	-5.2218922578912	-2.3494294699505
polysaccharide transport	GO	-2.36097243917855	-1.71099962341299
posttranscriptional regulation of gene expression	GO	-2.65840207437389	-0.0293976964840192
propionate metabolic process	GO	2.68030422621096	-1.78965966453709
protein metabolic process	GO	-2.73510103233155	-2.73511473329991
purine nucleoside monophosphate biosynthetic process	GO	-0.534035778971022	2.4605084973058
purine nucleotide biosynthetic process	GO	-0.50420077218841	2.33199384374956
regulation of cell growth	GO	-0.224213404629157	-2.96265927936288
regulation of cell projection organization	GO	-2.78133079977053	-1.07414009422548
response to heat	GO	-4.05102792696516	-3.32604436826469
response to nickel cation	GO	2.2452849784131	4.38611003384607
response to nutrient levels	GO	-2.35116823014353	-2.71101955332459
secondary metabolic process	GO	-3.31226181473852	-0.71418925418576
secondary metabolite biosynthetic process	GO	-3.07670016278962	-0.200143822033184
succinate metabolic process	GO	-3.61129363949588	-3.87850665258956
tricarboxylic acid metabolic process	GO	1.88207855567667	3.16877760516125
tRNA wobble base modification	GO	-1.69318273081617	-0.41316631699321
