	Cluster	strain	effect	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
61	Both.up	Both	up	GO:0009628	response to abiotic stimulus	14/62	148/2531	7.51576909737918e-06	0.00110982857004633	0.00107330456934503	dnaK/dnaJ/lon/htpG/clpB/grpE/pnp/yhcN/cspA/ibpB/ibpA/hslV/groS/groL	14
62	Both.up	Both	up	GO:0051084	'de novo' posttranslational protein folding	3/62	5/2531	0.000135263199198243	0.0119843194489644	0.0115899204365653	dnaK/groS/groL	3
63	Both.up	Both	up	GO:0051085	chaperone mediated protein folding requiring cofactor	3/62	5/2531	0.000135263199198243	0.0119843194489644	0.0115899204365653	dnaK/groS/groL	3
64	Both.up	Both	up	GO:0006457	protein folding	6/62	38/2531	0.000253199277138449	0.016821305792141	0.0162677235532883	dnaK/dnaJ/secA/htpG/groS/groL	6
65	Both.up	Both	up	GO:0006458	'de novo' protein folding	3/62	6/2531	0.00026579941432277	0.016821305792141	0.0162677235532883	dnaK/groS/groL	3
66	Both.up	Both	up	GO:0061077	chaperone-mediated protein folding	5/62	29/2531	0.00056588075137923	0.0313356466076249	0.0303044033962298	dnaK/dnaJ/secA/groS/groL	5
67	Both.up	Both	up	GO:0016032	viral process	4/62	18/2531	0.000772635444152151	0.0342277501759403	0.0331013290284132	dnaJ/casC/groS/groL	4
68	Both.up	Both	up	GO:0044403	symbiosis, encompassing mutualism through parasitism	4/62	18/2531	0.000772635444152151	0.0342277501759403	0.0331013290284132	dnaJ/casC/groS/groL	4
69	Both.up	Both	up	GO:0044419	interspecies interaction between organisms	4/62	20/2531	0.0011791337125894	0.0474869304251914	0.0459241551219031	dnaJ/casC/groS/groL	4
70	Both.up	Both	up	GO:0006950	response to stress	21/62	447/2531	0.00139140989278344	0.0513662152085886	0.0496757742423561	dnaK/dnaJ/rihC/lon/htpG/fsr/yeaD/clpB/grpE/casC/pnp/yhcF/yhcN/nfuA/cspA/insK/ibpB/ibpA/hslV/groS/groL	21
71	Both.up	Both	up	GO:0035966	response to topologically incorrect protein	2/62	3/2531	0.00174383817270203	0.0594246392697693	0.0574689988898565	dnaK/clpB	2
72	Both.down	Both	down	GO:0000162	tryptophan biosynthetic process	4/94	5/2531	8.6839580217193e-06	0.0015746910546051	0.00141990331162147	trpB/trpC/trpD/trpE	4
73	Both.down	Both	down	GO:0042435	indole-containing compound biosynthetic process	4/94	5/2531	8.6839580217193e-06	0.0015746910546051	0.00141990331162147	trpB/trpC/trpD/trpE	4
74	Both.down	Both	down	GO:0046219	indolalkylamine biosynthetic process	4/94	5/2531	8.6839580217193e-06	0.0015746910546051	0.00141990331162147	trpB/trpC/trpD/trpE	4
75	Both.down	Both	down	GO:0006541	glutamine metabolic process	4/94	6/2531	2.53102606640858e-05	0.00344219545031567	0.00310383722880631	asnB/purL/gltB/glnA	4
76	Both.down	Both	down	GO:0006568	tryptophan metabolic process	4/94	8/2531	0.000111494477411945	0.00866471367315686	0.00781299646225057	trpB/trpC/trpD/trpE	4
77	Both.down	Both	down	GO:0006586	indolalkylamine metabolic process	4/94	8/2531	0.000111494477411945	0.00866471367315686	0.00781299646225057	trpB/trpC/trpD/trpE	4
78	Both.down	Both	down	GO:0042430	indole-containing compound metabolic process	4/94	8/2531	0.000111494477411945	0.00866471367315686	0.00781299646225057	trpB/trpC/trpD/trpE	4
79	Both.down	Both	down	GO:0006950	response to stress	31/94	447/2531	0.000185194502890381	0.0101395113111666	0.00914282560178719	copA/appY/dps/ycgB/hslJ/narY/osmC/sodC/sufD/sufA/btuE/pfkB/ydiZ/katE/osmE/yobF/otsB/yodD/sbmC/osmF/yohC/ompC/elaB/gadW/treF/asnA/argB/purD/purA/aidB/osmY	31
80	Both.down	Both	down	GO:0006972	hyperosmotic response	4/94	9/2531	0.00019499272740562	0.0101395113111666	0.00914282560178719	osmC/katE/osmF/treF	4
81	Both.down	Both	down	GO:0016226	iron-sulfur cluster assembly	5/94	16/2531	0.000200562587265807	0.0101395113111666	0.00914282560178719	sufS/sufD/sufC/sufB/sufA	5
82	Both.down	Both	down	GO:0006970	response to osmotic stress	7/94	35/2531	0.000223490179445218	0.0101395113111666	0.00914282560178719	osmC/katE/osmE/otsB/osmF/treF/osmY	7
83	Both.down	Both	down	GO:0009268	response to pH	6/94	25/2531	0.000223665690687498	0.0101395113111666	0.00914282560178719	ybaT/yodD/hchA/hdeB/hdeA/hdeD	6
84	Both.down	Both	down	GO:0009628	response to abiotic stimulus	15/94	148/2531	0.000262603101069971	0.0107183268677719	0.00966474520197701	ybaT/hslJ/osmC/katE/osmE/yobF/otsB/yodD/hchA/osmF/hdeB/hdeA/hdeD/treF/osmY	15
85	Both.down	Both	down	GO:0031163	metallo-sulfur cluster assembly	5/94	17/2531	0.000275839294391189	0.0107183268677719	0.00966474520197701	sufS/sufD/sufC/sufB/sufA	5
86	Both.down	Both	down	GO:0009309	amine biosynthetic process	4/94	11/2531	0.000482150557485308	0.0163931189545005	0.0147817210386943	trpB/trpC/trpD/trpE	4
87	Both.down	Both	down	GO:0042401	cellular biogenic amine biosynthetic process	4/94	11/2531	0.000482150557485308	0.0163931189545005	0.0147817210386943	trpB/trpC/trpD/trpE	4
88	Both.down	Both	down	GO:0009064	glutamine family amino acid metabolic process	7/94	40/2531	0.000532132751240882	0.0170282480397082	0.0153544187045357	asnB/astD/purL/gltB/gltD/glnA/argB	7
89	Both.down	Both	down	GO:0015696	ammonium transport	5/94	20/2531	0.000632430672751172	0.0191134603320354	0.0172346604387161	potF/potG/potI/yehX/osmF	5
90	Both.down	Both	down	GO:0033554	cellular response to stress	22/94	304/2531	0.0012135904475028	0.0347470107074486	0.0313314763732025	appY/ycgB/narY/sodC/pfkB/ydiZ/katE/yobF/otsB/yodD/sbmC/osmF/yohC/ompC/elaB/gadW/treF/asnA/argB/purD/purA/aidB	22
91	Both.down	Both	down	GO:0009073	aromatic amino acid family biosynthetic process	4/94	14/2531	0.00134191609517407	0.0365001177887346	0.0329122579132165	trpB/trpC/trpD/trpE	4
92	Both.down	Both	down	GO:0006097	glyoxylate cycle	3/94	7/2531	0.00155837692750838	0.0368590021115026	0.0332358649070437	aceB/aceA/aceK	3
93	Both.down	Both	down	GO:0015847	putrescine transport	3/94	7/2531	0.00155837692750838	0.0368590021115026	0.0332358649070437	potF/potG/potI	3
94	Both.down	Both	down	GO:0046040	IMP metabolic process	3/94	7/2531	0.00155837692750838	0.0368590021115026	0.0332358649070437	purC/purL/purA	3
95	Both.down	Both	down	GO:0019645	anaerobic electron transport chain	3/94	8/2531	0.00242650639756624	0.055000811678168	0.0495943851432398	narI/narY/narZ	3
96	Both.down	Both	down	GO:0009072	aromatic amino acid family metabolic process	4/94	17/2531	0.00292821728690733	0.0637180081631035	0.057454705503108	trpB/trpC/trpD/trpE	4
97	Both.down	Both	down	GO:0051716	cellular response to stimulus	25/94	397/2531	0.00393639579507484	0.0802690520318307	0.072378827876999	copA/appY/ycgB/narY/rstB/sodC/pfkB/ydiZ/katE/yobF/otsB/yodD/sbmC/osmF/yohC/ompC/elaB/hdeA/gadW/treF/asnA/argB/purD/purA/aidB	25
98	Both.down	Both	down	GO:0006528	asparagine metabolic process	2/94	3/2531	0.00399629054823597	0.0802690520318307	0.072378827876999	asnB/asnA	2
99	Both.down	Both	down	GO:1901607	alpha-amino acid biosynthetic process	9/94	87/2531	0.00426747149719527	0.0802690520318307	0.072378827876999	asnB/trpB/trpC/trpD/trpE/gltB/gltD/asnA/argB	9
100	Both.down	Both	down	GO:1901605	alpha-amino acid metabolic process	12/94	138/2531	0.00427904872963803	0.0802690520318307	0.072378827876999	asnB/trpB/trpC/trpD/trpE/astD/purL/gltB/gltD/asnA/glnA/argB	12
101	Both.down	Both	down	GO:0005984	disaccharide metabolic process	3/94	10/2531	0.00492504581986316	0.0864266105163083	0.0779311155197362	lacZ/otsB/treF	3
102	Both.down	Both	down	GO:0015695	organic cation transport	3/94	10/2531	0.00492504581986316	0.0864266105163083	0.0779311155197362	potF/potG/potI	3
